latitude,longitude,weather_id,weather_main,weather_description,weather_icon,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,rain_1,rain_3,snow_1,snow_3,clouds,sunrise,sunset,w_date,w_time
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.51,278.33,278.92,1032,84,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:16:26
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.51,278.33,278.92,1032,84,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:16:26
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.51,277.77,279.27,1032,82,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:28:01
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.51,277.77,279.27,1032,82,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:28:01
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.51,277.77,279.27,1032,83,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:38:41
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.45,276.35,277.52,279.27,1033,83,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:45:21
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.59,276.51,277.77,279.27,1032,83,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:38:41
53.3475,-6.2593,803,Clouds,"broken clouds",04n,278.51,276.42,277.52,279.27,1032,83,10000,2.57,60,0,0,0,0,75,1677827351,1677866716,2023-03-03,19:50:08
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.5,276.41,277.52,279.27,1032,83,10000,2.57,60,0,0,0,0,75,1677827351,1677866717,2023-03-03,19:49:09
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.39,277.32,277.52,279.27,1033,83,10000,1.54,0,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:00:18
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.39,277.32,277.52,279.27,1033,83,10000,1.54,0,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:09:28
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.39,277.32,277.52,279.27,1033,83,10000,1.54,0,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:12:17
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.41,276.76,277.52,279.27,1033,83,10000,2.06,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:18:52
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.41,276.76,277.52,279.27,1033,83,10000,2.06,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:23:32
53.3545,-6.2594,803,Clouds,"broken clouds",04n,278.38,276.73,277.5,279.25,1033,83,10000,2.06,30,0,0,0,0,75,1677827351,1677866716,2023-03-03,20:27:14
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.41,276.76,277.52,279.27,1033,83,10000,2.06,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:25:13
53.3467,-6.2599,803,Clouds,"broken clouds",04n,278.41,276.76,277.52,279.27,1033,83,10000,2.06,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:38:05
53.3467,-6.2599,803,Clouds,"broken clouds",04n,278.41,276.76,277.52,279.27,1033,83,10000,2.06,30,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:38:05
